CRAFTABLE PLANS LIST	Y/N	QUALITY	TYPE	STATION	CATEGORY	STYLE	RELEASE	NOTES
Redguard Candelabra, Polished		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Candelabra, Practical		Fine	Blueprint	Woodworking	Lighting	Redguard	Homestead	
Redguard Candelabra, Twisted		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Candleholder, Polished		Superior	Blueprint	Woodworking	Lighting	Redguard	Homestead	
Redguard Candleholder, Practical		Fine	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Candlestick, Polished		Superior	Blueprint	Woodworking	Lighting	Redguard	Homestead	
Redguard Candlestick, Practical		Fine	Blueprint	Woodworking	Lighting	Redguard	Homestead	
Redguard Cannister, Gilded		Epic	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Canopy, Dawn		Superior	Pattern	Clothing	Structures	Redguard	Homestead	
Redguard Canopy, Stars		Epic	Pattern	Clothing	Structures	Redguard	Homestead	
Redguard Caravan, Cargo		Epic	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Caravan, Merchant		Epic	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Caravan, Practical		Superior	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Carpet, Dunes		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Carpet, Mirage		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Carpet, Oasis		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Carriage, Merchant		Superior	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Carriage, Practical		Fine	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Cart, Practical		Fine	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Cart, Work		Fine	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Cask, Sealed		Superior	Blueprint	Woodworking	Workshop	Redguard	Homestead	
Redguard Cauldron, Clawfoot		Superior	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Censer, Hanging Bell		Epic	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Censer, Hanging Bulb		Epic	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Censer, Hanging Disc		Epic	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Censer, Hanging Horn		Epic	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Chair, Backless		Fine	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Chair, Slatted		Fine	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Chair, Starry		Epic	Pattern	Clothing	Dining	Redguard	Homestead	
Redguard Chalice, Empty		Epic	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Chalice, Full		Epic	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Chandelier, Dark		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Chandelier, Grated		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Chandelier, Polished		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Chandelier, Polished Grated		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Couch, Bolted		Fine	Blueprint	Woodworking	Parlor	Redguard	Homestead	
Redguard Couch, Padded		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Couch, Slatted		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Counter, Bar Island		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Counter, Block Island		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Counter, Cabinet		Superior	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Counter, Corner		Superior	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Counter, Grill		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Cup, Empty		Fine	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Cup, Full		Fine	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Cupboard, Lattice		Superior	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redguard Cupboard, Sturdy		Epic	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redguard Curtain, Desert Rose		Fine	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Curtain, Smoky		Fine	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Decanter, Delicate		Epic	Formula	Alchemy	Hearth	Redguard	Homestead	
Redguard Decanter, Glass		Epic	Formula	Alchemy	Hearth	Redguard	Homestead	
Redguard Desk, Bolted		Epic	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Desk, Florid		Superior	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Desk, Sturdy		Fine	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Divider, Florid		Superior	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Divider, Lattice		Epic	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Enclosure, Arc		Epic	Praxis	Enchanting	Dining	Redguard	Homestead	
Redguard End Table, Inlaid		Superior	Blueprint	Woodworking	Parlor	Redguard	Homestead	
Redguard End Table, Oasis		Superior	Blueprint	Woodworking	Parlor	Redguard	Homestead	
Redguard End Table, Tea		Epic	Blueprint	Woodworking	Parlor	Redguard	Homestead	
Redguard Firepit, Stone		Epic	Praxis	Enchanting	Lighting	Redguard	Homestead	
Redguard Footlocker, Braced		Superior	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Footstool, Starry		Epic	Pattern	Clothing	Workshop	Redguard	Homestead	
Redguard Goblet, Empty		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Goblet, Full		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Hourglass of Desert Sands		Epic	Formula	Alchemy	Parlor	Redguard	Homestead	
Redguard Jar, Baroque		Epic	Praxis	Enchanting	Hearth	Redguard	Homestead	
Redguard Jar, Oasis		Epic	Praxis	Enchanting	Hearth	Redguard	Homestead	
Redguard Kabobs, Plate		Superior	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Kabobs, Wax		Fine	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Keg, Hefty		Superior	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redguard Lamp, Caged		Epic	Formula	Alchemy	Lighting	Redguard	Homestead	
Redguard Lantern, Caged		Epic	Formula	Alchemy	Lighting	Redguard	Homestead	
Redguard Lantern, Caged Stand		Epic	Formula	Alchemy	Lighting	Redguard	Homestead	
Redguard Lantern, Cannister		Epic	Formula	Alchemy	Lighting	Redguard	Homestead	
Redguard Lantern, Delicate		Epic	Formula	Alchemy	Lighting	Redguard	Homestead	
Redguard Mat, Desert		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Desert Sun		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Meditation		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Mirage		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Starburst		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Sunrise		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mat, Sunset		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Mug, Empty		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Mug, Full		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Nightstand, Bolted		Epic	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Nightstand, Florid		Superior	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Nightstand, Sturdy		Fine	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Pillow Roll, Desert Flame		Epic	Pattern	Clothing	Suite	Redguard	Dragon Bones	
Redguard Pillow Roll, Oasis		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Pillow, Florid Flames		Epic	Pattern	Clothing	Suite	Redguard	Dragon Bones	
Redguard Pillow, Florid Oasis		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Pillow, Florid Sunset		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Pillow, Lattice Flames		Epic	Pattern	Clothing	Suite	Redguard	Dragon Bones	
Redguard Pillow, Oasis		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Pillow, Sunset		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Pot, Capped		Fine	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Pot, Ceramic		Fine	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Pot, Hanging Brushed		Fine	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Pot, Hanging Garish		Epic	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Pot, Hanging Mosaic		Epic	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Pot, Lacquered		Superior	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Pot, Mosaic		Epic	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Pot, Sealed		Fine	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Rack, Barrel		Fine	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redguard Runner, Oasis		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Runner, Sun		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Satchel, Heavy		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Sconce, Polished		Superior	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Shelf, Arched		Superior	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Shelf, Barrel		Superior	Diagram	Blacksmithing	Library	Redguard	Homestead	
Redguard Shelf, Bolted		Epic	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Shelf, Sturdy		Fine	Blueprint	Woodworking	Library	Redguard	Homestead	
Redguard Slices, Wax		Epic	Design	Provisioning	Hearth	Redguard	Homestead	
Redguard Sofa, Desert Flame		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Spittoon, Gilded		Epic	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Stool, Block		Fine	Blueprint	Woodworking	Workshop	Redguard	Homestead	
Redguard Stool, Padded		Superior	Blueprint	Woodworking	Workshop	Redguard	Homestead	
Redguard Stool, Starry		Epic	Pattern	Clothing	Workshop	Redguard	Homestead	
Redguard Stool, Sturdy		Fine	Blueprint	Woodworking	Workshop	Redguard	Homestead	
Redguard Streetlamp, Single		Fine	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Streetlamps, Full		Epic	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Streetlamps, Paired		Superior	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Streetlamps, Triple		Superior	Diagram	Blacksmithing	Lighting	Redguard	Homestead	
Redguard Table, Formal		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Game		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Grand Inlaid		Epic	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Grand Oasis		Superior	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Inlaid		Superior	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Oasis		Superior	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Table, Sturdy		Fine	Blueprint	Woodworking	Dining	Redguard	Homestead	
Redguard Tankard, Empty		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Tankard, Full		Superior	Diagram	Blacksmithing	Hearth	Redguard	Homestead	
Redguard Tapestry, Lattice		Superior	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Tapestry, Oasis		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Tapestry, Starry		Epic	Pattern	Clothing	Parlor	Redguard	Homestead	
Redguard Tent, Scaled Flames		Superior	Pattern	Clothing	Structures	Redguard	Homestead	
Redguard Tent, Starry		Superior	Pattern	Clothing	Structures	Redguard	Homestead	
Redguard Throw Pillow, Desert Flame		Epic	Pattern	Clothing	Suite	Redguard	Dragon Bones	
Redguard Throw Pillow, Oasis		Epic	Pattern	Clothing	Suite	Redguard	Homestead	
Redguard Trunk, Bolted		Superior	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Trunk, Heavy		Fine	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Tuffet, Flames		Superior	Pattern	Clothing	Workshop	Redguard	Homestead	
Redguard Tuffet, Oasis		Epic	Pattern	Clothing	Workshop	Redguard	Homestead	
Redguard Urn, Lacquered		Fine	Design	Provisioning	Undercroft	Redguard	Homestead	
Redguard Urn, Mural		Superior	Design	Provisioning	Undercroft	Redguard	Homestead	
Redguard Urn, Star		Superior	Diagram	Blacksmithing	Undercroft	Redguard	Homestead	
Redguard Vanity, Bolted		Epic	Formula	Alchemy	Suite	Redguard	Homestead	
Redguard Vanity, Florid		Superior	Formula	Alchemy	Suite	Redguard	Homestead	
Redguard Vase, Baroque		Epic	Praxis	Enchanting	Parlor	Redguard	Homestead	
Redguard Vase, Lacquered		Superior	Design	Provisioning	Parlor	Redguard	Homestead	
Redguard Vessel, Lacquered		Fine	Design	Provisioning	Parlor	Redguard	Homestead	
Redguard Vial, Stained Glass		Epic	Formula	Alchemy	Hearth	Redguard	Homestead	
Redguard Wagon, Merchant		Fine	Blueprint	Woodworking	Courtyard	Redguard	Homestead	
Redguard Wardrobe, Braced		Epic	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Wardrobe, Inlaid		Superior	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Wardrobe, Sturdy		Epic	Blueprint	Woodworking	Suite	Redguard	Homestead	
Redguard Well, Arched		Superior	Praxis	Enchanting	Courtyard	Redguard	Homestead	
Redguard Well, Covered		Fine	Praxis	Enchanting	Courtyard	Redguard	Homestead	
Redguard Wine Rack, Inlaid		Superior	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redguard Wine Rack, Sturdy		Superior	Blueprint	Woodworking	Hearth	Redguard	Homestead	
Redoran Amphora, Sealed Marble		Epic	Praxis	Enchanting	Hearth	Redoran	Morrowind / Clockwork	
Redoran Armchair, Fungal Cushion		Epic	Pattern	Clothing	Dining	Redoran	Morrowind / Clockwork	
Redoran Armchair, Sanded		Epic	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Bed, Canopy		Epic	Pattern	Clothing	Suite	Redoran	Morrowind / Clockwork	
Redoran Bed, Double Pillow		Superior	Pattern	Clothing	Suite	Redoran	Morrowind / Clockwork	
Redoran Bed, Single		Fine	Pattern	Clothing	Suite	Redoran	Morrowind / Clockwork	
Redoran Bed, Single Pillow		Superior	Pattern	Clothing	Suite	Redoran	Morrowind / Clockwork	
Redoran Bench, Fungal Cushion		Epic	Pattern	Clothing	Dining	Redoran	Morrowind / Clockwork	
Redoran Bench, Sanded		Superior	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Bowl, Empty		Superior	Design	Provisioning	Hearth	Redoran	Morrowind / Clockwork	
Redoran Bowl, Saltrice Mash		Superior	Design	Provisioning	Hearth	Redoran	Morrowind / Clockwork	
Redoran Carpet, Volcanic Ash		Superior	Pattern	Clothing	Parlor	Redoran	Morrowind / Clockwork	
Redoran Carpet, Volcanic Sands		Fine	Pattern	Clothing	Parlor	Redoran	Morrowind / Clockwork	
Redoran Chair, Sanded		Superior	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Cup, Empty		Epic	Design	Provisioning	Hearth	Redoran	Morrowind / Clockwork	
Redoran Cup, Mazte		Epic	Design	Provisioning	Hearth	Redoran	Morrowind / Clockwork	
Redoran End Table, Sanded		Superior	Blueprint	Woodworking	Parlor	Redoran	Morrowind / Clockwork	
Redoran Fork, Wooden		Superior	Blueprint	Woodworking	Hearth	Redoran	Morrowind / Clockwork	
Redoran Incense Holder, Ceramic Pan		Superior	Formula	Alchemy	Undercroft	Redoran	Morrowind / Clockwork	
Redoran Incense Holder, Curved		Fine	Blueprint	Woodworking	Undercroft	Redoran	Morrowind / Clockwork	
Redoran Incense Holder, Mesh		Epic	Diagram	Blacksmithing	Undercroft	Redoran	Morrowind / Clockwork	
Redoran Incense Pot, Beastly		Epic	Diagram	Blacksmithing	Hearth	Redoran	Morrowind / Clockwork	
Redoran Jar, Jazbay		Superior	Praxis	Enchanting	Hearth	Redoran	Morrowind / Clockwork	
Redoran Knife, Wooden		Superior	Blueprint	Woodworking	Hearth	Redoran	Morrowind / Clockwork	
Redoran Mantle Cloth, Crimson Cover		Epic	Pattern	Clothing	Miscellaneous	Redoran	Morrowind / Clockwork	
Redoran Mantle Cloth, Crimson Coverlet		Superior	Pattern	Clothing	Miscellaneous	Redoran	Morrowind / Clockwork	
Redoran Plate, Floral		Epic	Diagram	Blacksmithing	Hearth	Redoran	Morrowind / Clockwork	
Redoran Plate, Meal		Epic	Diagram	Blacksmithing	Hearth	Redoran	Morrowind / Clockwork	
Redoran Settee, Fungal Cushion		Epic	Pattern	Clothing	Parlor	Redoran	Morrowind / Clockwork	
Redoran Settee, Sanded		Superior	Blueprint	Woodworking	Parlor	Redoran	Morrowind / Clockwork	
Redoran Sideboard, Display		Superior	Blueprint	Woodworking	Parlor	Redoran	Morrowind / Clockwork	
Redoran Spoon, Wooden		Superior	Blueprint	Woodworking	Hearth	Redoran	Morrowind / Clockwork	
Redoran Steamer, Iron		Epic	Diagram	Blacksmithing	Hearth	Redoran	Morrowind / Clockwork	
Redoran Stool, Fungal Cushion		Epic	Pattern	Clothing	Workshop	Redoran	Morrowind / Clockwork	
Redoran Stool, Sanded		Fine	Blueprint	Woodworking	Workshop	Redoran	Morrowind / Clockwork	
Redoran Table Runner, Gilded Ochre		Epic	Pattern	Clothing	Parlor	Redoran	Morrowind / Clockwork	
Redoran Table, Formal Floral		Epic	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Table, Formal Turtle		Epic	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Table, Kitchen		Superior	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Tray, Floral		Epic	Diagram	Blacksmithing	Hearth	Redoran	Morrowind / Clockwork	
Redoran Trestle, Corridor		Superior	Blueprint	Woodworking	Dining	Redoran	Morrowind / Clockwork	
Redoran Urn, Dusky Marble		Epic	Praxis	Enchanting	Undercroft	Redoran	Morrowind / Clockwork	
Redoran Urn, Imprinted Clay		Fine	Praxis	Enchanting	Undercroft	Redoran	Morrowind / Clockwork	
Redoran Urn, Pale Marble		Epic	Praxis	Enchanting	Undercroft	Redoran	Morrowind / Clockwork	
Relic Vault, Impenetrable		Legendary	Diagram	Blacksmithing	Workshop	Miscellaneous	Wolfhunter	Master Writ Furnishing
Ritual Fetish, Hircine		Superior	Blueprint	Woodworking	Undercroft	Miscellaneous	Wolfhunter	Final Boss Moon Hunter Keep Or March Of Sacrifices
Ritual Stone, Hircine		Superior	Praxis	Enchanting	Undercroft	Miscellaneous	Wolfhunter	Final Boss Moon Hunter Keep Or March Of Sacrifices
Rough Bag, Burlap		Standard	Pattern	Clothing	Hearth	Rough	Homestead	
Rough Bedroll, Basic		Standard	Pattern	Clothing	Suite	Rough	Homestead	
Rough Bowl, Common		Standard	Diagram	Blacksmithing	Hearth	Rough	Homestead	
Rough Box, Boarded		Standard	Blueprint	Woodworking	Workshop	Rough	Homestead	
Rough Container, Cargo		Standard	Blueprint	Woodworking	Workshop	Rough	Homestead	
Rough Crate, Bolted		Standard	Blueprint	Woodworking	Workshop	Rough	Homestead	
Rough Crate, Reinforced		Standard	Blueprint	Woodworking	Workshop	Rough	Homestead	
Rough Cup, Empty		Standard	Diagram	Blacksmithing	Hearth	Rough	Homestead	
Rough Hatchet, Practical		Standard	Diagram	Blacksmithing	Workshop	Rough	Homestead	
Rough Knife, Butcher		Standard	Diagram	Blacksmithing	Hearth	Rough	Homestead	
Rough Platform, Stage		Standard	Blueprint	Woodworking	Structures	Rough	Homestead	
Rough Stretcher, Military		Standard	Pattern	Clothing	Suite	Rough	Homestead	
Sacrificial Altar, Hircine		Epic	Praxis	Enchanting	Undercroft	Miscellaneous	Wolfhunter	Final Boss Moon Hunter Keep Or March Of Sacrifices
Scrimshaw Jewelry Box, Floral		Epic	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw Jewelry Box, Verdant Oval		Epic	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw Jewelry Box, Vineyard		Epic	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw, Ancient Vessel		Epic	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw, Octopus		Epic	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw, Sea Monster		Superior	Sketch	Jewelry	Parlor	Alinor	Summerset	
Scrimshaw, Ship		Superior	Sketch	Jewelry	Parlor	Alinor	Summerset	
Shark Jaw, Massive		Legendary	Design	Provisioning	Gallery	Miscellaneous	Lost Depths	Master Writ Furnishing
Silver Kettle, Masterworked		Legendary	Sketch	Jewelry	Hearth	Elsweyr	Elsweyr	Master Writ Furnishing
Simple Blue Banner		Fine	Pattern	Clothing	Parlor	Miscellaneous	Homestead	
Solitude Archway, Stone		Superior	Praxis	Enchanting	Structures	Solitude	Stonethorn	Drops From Solitude Dailies
Solitude Armchair, High-Backed Noble		Epic	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Armchair, Noble		Epic	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Armchair, Ornate		Epic	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Armchair, Ornate Low		Epic	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Armchair, Wicker		Superior	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Armchair, Wood		Fine	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Backpack, Basket		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Barstool, Wicker		Superior	Blueprint	Woodworking	Workshop	Solitude	Greymoor	
Solitude Barstool, Wood		Fine	Blueprint	Woodworking	Workshop	Solitude	Greymoor	
Solitude Basket, Centerpiece		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Basket, Ornate		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Basket, Wicker Handles		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Basket, Wicker Wide		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Bed, Noble Double		Epic	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bed, Noble Single		Epic	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bed, Rustic Bearskin Double		Superior	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bed, Rustic Bearskin Single		Superior	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bed, Rustic Cowhide Double		Superior	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bed, Rustic Cowhide Single		Superior	Pattern	Clothing	Suite	Solitude	Greymoor	
Solitude Bench, Polished		Superior	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Bench, Rustic		Fine	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Bench, Rustic Long		Fine	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Bench, Sturdy		Fine	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Bench, Sturdy Long		Fine	Blueprint	Woodworking	Dining	Solitude	Greymoor	
Solitude Bookcase, Backless		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Backless Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Backless		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Noble		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Noble Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Open Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Rustic		Fine	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Narrow Rustic Filled		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Noble		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Noble Cabinet		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Noble Cabinet Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Noble Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Rustic		Fine	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Rustic Cabinet		Fine	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bookcase, Rustic Filled		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Bowl, Berries		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bowl, Mushrooms		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bowl, Winter Onions		Epic	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bread, Floral Pattern		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bread, Long		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bread, Partial Loaf		Fine	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bread, Rustic Loaf		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bread, Rustic Sliced		Fine	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Breakfast, Eggs and Ham		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Breakfast, Full		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Breakfast, Sausages and Ham		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Bucket, Empty		Fine	Blueprint	Woodworking	Workshop	Solitude	Greymoor	
Solitude Cabinet, Narrow Noble		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Cabinet, Narrow Noble Filled		Epic	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Cabinet, Ornate Wall		Superior	Blueprint	Woodworking	Hearth	Solitude	Greymoor	
Solitude Cabinet, Rustic Filled		Superior	Blueprint	Woodworking	Library	Solitude	Greymoor	
Solitude Camping Pot, Fish Stew		Superior	Design	Provisioning	Hearth	Solitude	Greymoor	
Solitude Candlestick, Horn		Fine	Design	Provisioning	Lighting	Solitude	Greymoor	
Solitude Carpet, Grand Wolf's-Head Border		Epic	Pattern	Clothing	Parlor	Solitude	Greymoor	
Solitude Carpet, Inset Square		Fine	Pattern	Clothing	Parlor	Solitude	Greymoor	
Solitude Carpet, Large Plain		Fine	Pattern	Clothing	Parlor	Solitude	Greymoor	
Solitude Carpet, Plush		Epic	Pattern	Clothing	Parlor	Solitude	Greymoor	
Solitude Carpet, Plush Worn		Fine	Pattern	Clothing	Parlor	Solitude	Greymoor	
Solitude Carpet, Small Plush		Superior	Pattern	Clothing	Parlor	Solitude	Greymoor	
